Date,Variable
05/01/2021,122.2
06/01/2021,121.6
07/01/2021,120.8
08/01/2021,121.1
09/01/2021,121.1
10/01/2021,120.7
11/01/2021,120.7
12/01/2021,121.4
13/01/2021,120.8
14/01/2021,120.5
15/01/2021,120.8
16/01/2021,120.8
17/01/2021,120.8
18/01/2021,120.4
19/01/2021,120.4
20/01/2021,120.1
21/01/2021,119.7
22/01/2021,120.1
23/01/2021,120.1
24/01/2021,120.1
25/01/2021,119.5
26/01/2021,119.6
27/01/2021,120.1
28/01/2021,119.4
29/01/2021,119.1
30/01/2021,119.1
31/01/2021,119.7
01/02/2021,119.7
02/02/2021,119.4
03/02/2021,119.7
04/02/2021,119.5
05/02/2021,119.4
06/02/2021,119
07/02/2021,119.2
08/02/2021,118.6
09/02/2021,118.6
10/02/2021,118.8
11/02/2021,119.1
12/02/2021,119.1
13/02/2021,118.4
